gene,ensemble_prob
CSPG5,0.04250220337379436
PDZD7,0.023741599864947307
COBLL1,0.013806855909636847
LRP3,0.014238082075560854
MAN2C1,0.013945867842869265
PTMS,0.013687763986884741
TADA1,0.01377336715576248
MAPK8IP2,0.02480727470322859
KCNMB3,0.013691766631977378
TNFRSF10B,0.013708661392732892
COPZ1,0.013707385891448093
GSDMA,0.027510997984134027
CHN2,0.01659638723704175
ZNF75D,0.01377338804890662
NRIP2,0.013727027031871881
SAMSN1,0.01817200000339637
NYNRIN,0.028661898797477936
DNM3,0.016554364412846793
TNFRSF6B,0.2780385875702171
NLRP12,0.058657526778048814
CADM4,0.01459110227927446
CYB5R2,0.019609178049624285
HLA-F,0.037258980080481174
RAB40A,0.022407593184279536
SOD3,0.32874550217538623
MEI1,0.03338580064421147
AASDH,0.014817262305146883
FRAT2,0.01401390997660108
BANK1,0.017069301602700118
DEF6,0.013741905459695421
LIMD2,0.015197485130225409
ORM1,0.629345765360987
HHIP,0.08866887845855895
NAT9,0.01376401016923728
PEX6,0.013872727136503941
PSMB8,0.013998643077126553
SNED1,0.015377661932869836
FGFR1OP2,0.013711834636894772
TRPC1,0.013732646714073133
TMEM177,0.013984143537171041
MCM4,0.01645595337458729
ADARB1,0.014108319749984237
WARS2,0.01397809581736175
GATAD2B,0.014606922900470465
ITGB1,0.013693975403796008
HJURP,0.19095979922579376
SAP30L,0.013693727759808734
URB1,0.013842318446642179
TRIM4,0.013680142409991177
UGT8,0.1146120990786962
SLC37A4,0.01375437212732526
ESD,0.014086476404628448
ZNF85,0.013778024470494898
DCP1B,0.0136170186208909
DNTTIP1,0.013673548815123596
MXRA7,0.013905195698134752
TMPRSS2,0.12143199830005194
PDK1,0.014119892394362496
GOLM1,0.01397005086886185
FGFRL1,0.013880487358313997
ILDR1,0.015640093083441754
BLK,0.06852824015064055
EPHB3,0.014346965848640281
ADAMTSL3,0.03908870401901937
SHKBP1,0.01376141908546543
LRP11,0.01368968896966246
PSMC1,0.01369603365531475
EXOSC6,0.013673990335185415
AKAP8L,0.013818744442753883
CTSE,0.5313932922831927
VPS28,0.013732575609725113
BACH1,0.01367852918150476
DUOX1,0.5252645022446201
ACOT11,0.01529114421128943
SLIT2,0.6235317979853593
DMRTA1,0.01857826783876118
BEND6,0.026769863865219578
CPS1,0.06915174918335715
ARHGAP31,0.01535066451331615
TPSAB1,0.49413017756038946
NGFR,0.25138643301703867
RAB31,0.013980105586521149
HCP5,0.015891605566959427
NPEPL1,0.013968182193525774
BICD1,0.013794241851878192
THAP9,0.013795231362822336
ZNF768,0.013829228223449565
BTD,0.014883510526612725
P2RY8,0.01947133525907325
TTC13,0.013697682484393185
GRAMD4,0.013872827219499896
ERMP1,0.013747677068868857
TFPT,0.013637962567908371
SYDE2,0.013788324905880275
FYTTD1,0.013691224601250924
KLHL21,0.013926903282762757
MRPL4,0.013725472577997522
SNURF,0.018535357655485203
SVEP1,0.08175384564749942
MAZ,0.013750995388597129
SOCS5,0.013719126261378048
HEY2,0.025907213408024574
CLIP4,0.013784904693362358
HRAS,0.013698719789400767
SRRM5,0.013947464018175933
TNFSF10,0.05195989567789633
SPTBN2,0.014287591092426378
GCH1,0.015986412996349092
RPL35,0.013935856351672184
ZBTB39,0.01389278227354322
RANBP6,0.013693582240585509
POLR2A,0.015083620030948371
SURF1,0.01369431433859163
TNIK,0.02734471901868194
POLI,0.013724672293416361
ETFA,0.013687794254533335
