gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
PRUNE2,0.6429666666666665,1408,87.19,1,0,False,4.942618307588974,1.8846466604165063e-299,298.7247700607449,up,True,7.390122432878625,2.4475041252896514,False,False,True
NLRP12,0.6427,1409,87.18,1,0,False,2.59540353884896,1.524359147851271e-126,125.8169126986433,up,True,4.414518331989985,1.8191147931410256,False,False,True
IL2RB,0.6418333333333335,1410,87.17,1,0,False,5.596198644583354,0.0,300.0,up,True,8.705393545545627,3.109194900962273,False,False,True
CPVL,0.6414333333333331,1411,87.17,1,0,False,4.838221802131594,0.0,300.0,up,True,9.070307647734726,4.232085845603132,False,False,True
CR1,0.6414,1412,87.16,1,0,False,4.563064657093534,1.400799816093714e-293,292.85362392394165,up,True,6.954435306443815,2.3913706493502804,False,False,True
CLDN11,0.641133333333333,1413,87.15,1,0,False,2.614288407375622,8.519570955413005e-162,161.0695822757014,up,True,5.868447899651369,3.254159492275748,False,False,True
GPR183,0.6409333333333335,1414,87.14,1,0,False,3.0717831569546625,9.802910513603953e-244,243.0086449618245,up,True,8.339065799132632,5.267282642177969,False,False,True
GALNT6,0.6406666666666667,1415,87.13,1,0,False,7.34840344262705,0.0,300.0,up,True,9.803576007749893,2.455172565122843,False,False,True
ALDOB,0.6403666666666665,1416,87.12,1,0,False,2.424345691668884,3.799086610667177e-91,90.42032080539076,up,True,3.223666870736728,0.7993211790678441,False,False,True
EHF,0.6402999999999998,1417,87.11,1,0,False,6.75882408585635,0.0,300.0,up,True,10.30776054096216,3.548936455105809,False,False,True
WNT7B,0.6401666666666664,1418,87.1,1,0,False,7.420758230025995,0.0,300.0,up,True,9.197559577659044,1.776801347633049,False,False,True
GGTLC2,0.6397999999999996,1419,87.09,1,0,False,5.365179038109125,0.0,300.0,up,True,6.426439636703269,1.061260598594144,False,False,True
