GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType	Regulation	log2FoldChange	Adjusted_P-value
23089	PEG10	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3	MIM:609810|HGNC:HGNC:14005|Ensembl:ENSG00000242265|Vega:OTTHUMG00000155578	7q21.3	paternally expressed 10	protein-coding	Down	-5.8	0.00123
23136	EPB41L3	4.1B|DAL-1|DAL1	MIM:605331|HGNC:HGNC:3380|Ensembl:ENSG00000082397|Vega:OTTHUMG00000131562	18p11.31	erythrocyte membrane protein band 4.1 like 3	protein-coding	Down	-4.75	0.0449
23213	SULF1	SULF-1	MIM:610012|HGNC:HGNC:20391|Ensembl:ENSG00000137573|Vega:OTTHUMG00000164466	8q13.2-q13.3	sulfatase 1	protein-coding	Up	4.97	0.00314
23345	SYNE1	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	MIM:608441|HGNC:HGNC:17089|Ensembl:ENSG00000131018|Vega:OTTHUMG00000015841	6q25.2	spectrin repeat containing nuclear envelope protein 1	protein-coding	Down	-6.95	0.0219
23452	ANGPTL2	ARP2|HARP	MIM:605001|HGNC:HGNC:490|Ensembl:ENSG00000136859|Vega:OTTHUMG00000020695	9q33.3	angiopoietin like 2	protein-coding	Up	4.51	0.0426
2348	FOLR1	FBP|FOLR	MIM:136430|HGNC:HGNC:3791|Ensembl:ENSG00000110195|Vega:OTTHUMG00000167876	11q13.4	folate receptor 1	protein-coding	Down	-9.92	2.04e-05
23532	PRAME	CT130|MAPE|OIP-4|OIP4	MIM:606021|HGNC:HGNC:9336|Ensembl:ENSG00000185686|Vega:OTTHUMG00000151172	22q11.22	preferentially expressed antigen in melanoma	protein-coding	Up	9.5	8.73e-11
23554	TSPAN12	EVR5|NET-2|NET2|TM4SF12	MIM:613138|HGNC:HGNC:21641|Ensembl:ENSG00000106025|Vega:OTTHUMG00000156980	7q31.31	tetraspanin 12	protein-coding	Down	-3.78	0.0225
23650	TRIM29	ATDC	MIM:610658|HGNC:HGNC:17274|Ensembl:ENSG00000137699|Vega:OTTHUMG00000140377	11q23.3	tripartite motif containing 29	protein-coding	Down	-8.82	8.17e-05
249	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	MIM:171760|HGNC:HGNC:438|Ensembl:ENSG00000162551|Vega:OTTHUMG00000002949	1p36.12	"alkaline phosphatase, liver/bone/kidney"	protein-coding	Down	-9.05	2.85e-05
2524	FUT2	B12QTL1|SE|SEC2|Se2|sej	MIM:182100|HGNC:HGNC:4013|Ensembl:ENSG00000176920|Vega:OTTHUMG00000164427	19q13.33	fucosyltransferase 2	protein-coding	Up	7.39	0.000466
2525	FUT3	CD174|FT3B|FucT-III|LE|Les	MIM:111100|HGNC:HGNC:4014|Ensembl:ENSG00000171124|Vega:OTTHUMG00000180614	19p13.3	fucosyltransferase 3 (Lewis blood group)	protein-coding	Up	4.84	0.0302
2528	FUT6	FCT3A|FT1A|Fuc-TVI|FucT-VI	MIM:136836|HGNC:HGNC:4017|Ensembl:ENSG00000156413|Vega:OTTHUMG00000167335	19p13.3	fucosyltransferase 6	protein-coding	Up	5.28	0.0018
2556	GABRA3	-	MIM:305660|HGNC:HGNC:4077|Ensembl:ENSG00000011677|Vega:OTTHUMG00000024183	Xq28	gamma-aminobutyric acid type A receptor alpha3 subunit	protein-coding	Up	7.87	0.00649
25818	KLK5	KLK-L2|KLKL2|SCTE	MIM:605643|HGNC:HGNC:6366|Ensembl:ENSG00000167754|Vega:OTTHUMG00000183097	19q13.41	kallikrein related peptidase 5	protein-coding	Up	5.78	7.05e-07
2583	B4GALNT1	GALGT|GALNACT|GalNAc-T|SPG26	MIM:601873|HGNC:HGNC:4117|Ensembl:ENSG00000135454|Vega:OTTHUMG00000170190	12q13.3	"beta-1,4-N-acetyl-galactosaminyltransferase 1"	protein-coding	Up	3.87	0.00066
25878	MXRA5	-	MIM:300938|HGNC:HGNC:7539|Ensembl:ENSG00000101825|Vega:OTTHUMG00000021083	Xp22.33	matrix remodeling associated 5	protein-coding	Up	2.94	0.00604
25890	ABI3BP	NESHBP|TARSH	MIM:606279|HGNC:HGNC:17265|Ensembl:ENSG00000154175|Vega:OTTHUMG00000159094	3q12.2	ABI family member 3 binding protein	protein-coding	Down	-8.93	0.00118
259	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	MIM:176870|HGNC:HGNC:453|Ensembl:ENSG00000106927|Vega:OTTHUMG00000020534	9q32	alpha-1-microglobulin/bikunin precursor	protein-coding	Up	6.04	0.00571
2591	GALNT3	GalNAc-T3|HFTC|HHS	MIM:601756|HGNC:HGNC:4125|Ensembl:ENSG00000115339|Vega:OTTHUMG00000132157	2q24.3	polypeptide N-acetylgalactosaminyltransferase 3	protein-coding	Down	-3.94	0.0299
259266	ASPM	ASP|Calmbp1|MCPH5	MIM:605481|HGNC:HGNC:19048|Ensembl:ENSG00000066279|Vega:OTTHUMG00000036277	1q31.3	abnormal spindle microtubule assembly	protein-coding	Up	4.9	0.000362
26085	KLK13	KLK-L4|KLKL4	MIM:605505|HGNC:HGNC:6361|Ensembl:ENSG00000167759|Vega:OTTHUMG00000182912	19q13.41	kallikrein related peptidase 13	protein-coding	Up	7.06	0.0114
2624	GATA2	DCML|IMD21|MONOMAC|NFE1B	MIM:137295|HGNC:HGNC:4171|Ensembl:ENSG00000179348|Vega:OTTHUMG00000159689	3q21.3	GATA binding protein 2	protein-coding	Down	-3.91	0.0031
26256	CABYR	CABYRa|CABYRc|CABYRc/d|CABYRe|CBP86|CT88|FSP-2|FSP2	MIM:612135|HGNC:HGNC:15569|Ensembl:ENSG00000154040|Vega:OTTHUMG00000037365	18q11.2	calcium binding tyrosine phosphorylation regulated	protein-coding	Up	7	0.000169
2626	GATA4	ASD2|TACHD|TOF|VSD1	MIM:600576|HGNC:HGNC:4173|Ensembl:ENSG00000136574|Vega:OTTHUMG00000090800	8p23.1	GATA binding protein 4	protein-coding	Up	8.93	0.000896
26468	LHX6	LHX6.1	MIM:608215|HGNC:HGNC:21735|Ensembl:ENSG00000106852|Vega:OTTHUMG00000020601	9q33.2	LIM homeobox 6	protein-coding	Down	-4.6	0.0337
26575	RGS17	RGS-17|RGSZ2|hRGS17	MIM:607191|HGNC:HGNC:14088|Ensembl:ENSG00000091844|Vega:OTTHUMG00000015858	6q25.2	regulator of G-protein signaling 17	protein-coding	Up	7.46	0.0132
26585	GREM1	C15DUPq|CKTSF1B1|CRAC1|CRCS4|DAND2|DRM|DUP15q|GREMLIN|HMPS|HMPS1|IHG-2|MPSH|PIG2	MIM:603054|HGNC:HGNC:2001|Ensembl:ENSG00000166923|Vega:OTTHUMG00000129319	15q13.3	"gremlin 1, DAN family BMP antagonist"	protein-coding	Up	6.83	2.5e-07
2678	GGT1	CD224|D22S672|D22S732|GGT|GGT 1|GTG	MIM:612346|HGNC:HGNC:4250|Ensembl:ENSG00000100031|Vega:OTTHUMG00000030859	22q11.23	gamma-glutamyltransferase 1	protein-coding	Down	-3.07	0.0426
2705	GJB1	CMTX|CMTX1|CX32	MIM:304040|HGNC:HGNC:4283|Ensembl:ENSG00000169562|Vega:OTTHUMG00000021797	Xq13.1	gap junction protein beta 1	protein-coding	Down	-9.43	0.0017
2706	GJB2	CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK	MIM:121011|HGNC:HGNC:4284|Ensembl:ENSG00000165474|Vega:OTTHUMG00000016513	13q12.11	gap junction protein beta 2	protein-coding	Up	7.02	2.24e-08
27076	LYPD3	C4.4A	MIM:609484|HGNC:HGNC:24880|Ensembl:ENSG00000124466|Vega:OTTHUMG00000182696	19q13.31	LY6/PLAUR domain containing 3	protein-coding	Up	6.33	0.000187
2719	GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1	MIM:300037|HGNC:HGNC:4451|Ensembl:ENSG00000147257|Vega:OTTHUMG00000022448	Xq26.2	glypican 3	protein-coding	Down	-5.63	0.00202
