gene,predicted_prob,predicted_label,rank,percentile,novel_candidate,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,node_color,node_size
ARHGAP31,0.1296999999999999,0,4073,62.93,False,False,4.351134929257968,0.0,300.0,up,True,9.253029683744453,4.901894754486483,108,68.96933722496033,0.0007389642970439,0.1169663433831399,0.0121888871056357,0.3162180682162237,1,0.6386048793792725,#F0882A,10.836499999999996
ARHGAP6,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,93,60.45340549945831,5.825899222398755e-05,0.1152097754822698,0.0015288010536612,0.3875622403387875,1,0.650036633014679,#CCCCCC,5.0
ARHGEF15,0.5756333333333333,1,1665,84.85,False,False,2.096717758638002,2.073889476391411e-194,193.6832143921477,up,True,7.408045624322086,5.311327865684084,125,87.23856800794601,0.0005943318263873,0.1173169276029695,0.0013750752835843,0.2802658304017812,1,0.6979085803031921,#F0882A,30.9035
ARHGEF6,0.0720999999999999,0,4792,56.39,False,False,3.461751764637496,0.0,300.0,up,True,8.757312053382767,5.295560288745271,407,286.00929260253906,0.0008987920464524,0.1185716928873783,0.0693940977462192,0.3532574772846243,1,0.7027256488800049,#F0882A,8.244499999999995
ATP1B2,0.601,1,1580,85.63,False,False,2.0163585699171445,1.4625002589966468e-131,130.83490404833583,up,True,5.031418508463999,3.015059938546855,28,17.63297736644745,3.1346800620574743e-06,0.1044208162712117,0.0001455993841755,0.5191403760212725,1,0.6297491788864136,#F0882A,32.045
BHLHE22,0.5989333333333333,1,1589,85.55,False,False,3.183585506792056,1.8146462733865188e-263,262.7412080188306,up,True,5.369754045322571,2.186168538530515,90,58.53352320194245,1.5013494436178916e-05,0.1076563083049871,0.0028083594526115,0.4098251950985018,1,0.6503725051879883,#F0882A,31.951999999999998
C14ORF132,0.4724,1,2131,80.61,False,False,3.198080731476144,5.152317963468233e-253,252.28799734333484,up,True,7.900119572832855,4.702038841356711,15,9.205724060535433,4.061555292266125e-05,0.1004713254991537,0.0001534330918223,0.5522674450116254,1,0.6137149930000305,#F0882A,26.258
C1QTNF7,0.6379666666666668,1,1424,87.05,False,False,2.271613099155545,7.8182453782337955e-106,105.10689070321298,up,True,5.320855815434314,3.0492427162787683,204,134.1373079419136,0.0100219541903304,0.126610584397501,0.0012126009656626,0.1994265982753553,1,0.6575357913970947,#F0882A,33.7085
C7,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,70,46.605397045612335,7.026486235278673e-05,0.1134514718990443,0.0014485881057052,0.3426450157701389,1,0.665791392326355,#CCCCCC,5.0
CACNA1C,0.3077666666666668,0,2943,73.22,False,False,4.286659007769297,0.0,300.0,up,True,7.084953213714083,2.798294205944786,168,112.31502532958984,0.0017840822177308,0.1245792226341893,0.0021239942324357,0.2458624691311303,1,0.6685417890548706,#F0882A,18.849500000000006
CALCRL,0.4865333333333334,1,2060,81.25,False,False,2.99295320134215,1.7785405991288053e-279,278.7499362166315,up,True,8.952540062460963,5.959586861118813,85,57.51683408021927,6.170947500541373e-05,0.1099396464576294,0.0019155710663598,0.3836500345759202,1,0.676668643951416,#F0882A,26.894000000000002
CASS4,0.6476666666666661,1,1387,87.38,False,False,2.2340999228886584,1.9223227312930898e-159,158.71617369853345,up,True,6.307389599397032,4.073289676508374,200,131.86292499303818,0.0007332632625834,0.1193241543242297,0.0275507011240848,0.3473062569640692,1,0.6593145728111267,#F0882A,34.14499999999997
CBX7,0.0817999999999999,0,4634,57.83,False,False,2.965116083781276,0.0,300.0,up,True,9.1316829358324,6.166566852051123,56,34.9961741566658,0.005034285851483,0.1261940474044838,0.0008333742569343,0.2166997180679408,1,0.6249316930770874,#F0882A,8.680999999999996
CD34,0.3666999999999999,0,2650,75.89,False,False,4.420335475417784,0.0,300.0,up,True,9.7128081460151,5.292472670597317,116,80.08551222085953,0.0001944712797686,0.1139164369478109,0.0011435762482714,0.3125640328698708,1,0.690392255783081,#F0882A,21.501499999999997
CD4,0.0808666666666666,0,4653,57.66,False,False,4.437940033987624,0.0,300.0,up,True,10.965628068922983,6.52768803493536,441,323.562536239624,0.0004688376552608,0.1160041814826919,0.0778654707036968,0.3463776291073147,1,0.7337018847465515,#F0882A,8.638999999999998
CD93,0.0899666666666666,0,4502,59.03,False,False,3.473626860847375,0.0,300.0,up,True,10.595635487247977,7.1220086264006,145,98.89704978466034,0.000485416128279,0.1123548407998445,0.0040799111521298,0.2475968354609009,1,0.6820486187934875,#F0882A,9.048499999999997
CDH5,0.2382999999999998,0,3327,69.73,False,False,2.586144516853474,7.242325797301237e-281,280.1401219422658,up,True,9.675331049727667,7.089186532874195,107,75.23832678794861,0.000868101454581,0.1107522742076194,0.0010052879503206,0.3074106603898842,1,0.7031619548797607,#F0882A,15.72349999999999
CLEC14A,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,105,74.16277819871902,0.0001043466531157,0.1085520224390618,0.0009805831778433,0.3258882579188048,1,0.7063121795654297,#CCCCCC,5.0
CNRIP1,0.1051666666666666,0,4316,60.72,False,False,2.292801055810825,9.12733819232701e-261,260.0396558573979,up,True,7.009992831970707,4.717191776159882,189,125.00729608535768,0.0003566537426703,0.1155498935084555,0.0084023077448098,0.2265366372405411,1,0.6614142656326294,#F0882A,9.732499999999998
COL14A1,0.7909999999999999,1,811,92.63,False,False,4.857628277705727,1.836113462148376e-299,298.7361004851923,up,True,9.292300771133206,4.434672493427479,71,46.46335983276367,1.2223320206054796e-05,0.1109123948908943,0.0007290928146243,0.4513466541241784,1,0.6544134616851807,#F0882A,40.595
COLEC12,0.533066666666667,1,1864,83.04,False,False,3.6129801308064167,1.3779291118242806e-231,230.8607731243264,up,True,9.03435659496252,5.421376464156104,84,53.26281189918518,0.0004336963908061,0.11434431124148,0.0111614635198797,0.3887332206251129,1,0.6340811252593994,#F0882A,28.988000000000017
CORO2B,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,43,27.367290198802948,5.683688799981841e-05,0.1069121541029793,0.000244444615914,0.4919892899115114,1,0.6364485621452332,#CCCCCC,5.0
CYGB,0.2663666666666667,0,3163,71.22,False,False,2.7915380856911733,0.0,300.0,up,True,8.239175408187892,5.447637322496719,101,65.5759487748146,2.8518159469803774e-05,0.1049407492040569,0.0009406642289319,0.2835628570430731,1,0.6492668390274048,#F0882A,16.9865
CYYR1,0.2164,0,3447,68.63,False,False,2.7535475716767426,0.0,300.0,up,True,7.763250126141948,5.009702554465205,121,83.84487009048462,0.0001592494775779,0.1115056472356596,0.0018776956745294,0.3025669167327469,1,0.6929328441619873,#F0882A,14.738
DCN,0.4967000000000003,1,2010,81.71,False,False,4.140563260533169,0.0,300.0,up,True,12.567737744835329,8.427174484302158,175,119.3595159649849,0.0002460822446574,0.1140112431609407,0.0033098451379652,0.2745794548647116,1,0.682054340839386,#F0882A,27.351500000000012
DES,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,28,17.94001990556717,1.203182134611526e-06,0.1023151310991381,0.0001565535587464,0.5240654717951807,1,0.6407150030136108,#CCCCCC,5.0
DLC1,0.4817666666666668,1,2082,81.06,False,True,4.45929981076913,4.403264772243782e-302,300.0,up,True,10.147277453115086,5.687977642345956,41,25.50874936580658,0.0006710677102997,0.1090891947246087,3.7692373412495306e-05,0.1617993033598667,1,0.6221646070480347,#E8524A,26.679500000000004
ECM2,0.4174666666666665,1,2390,78.25,False,False,3.515921247595006,1.1877273373953924e-295,294.9252832474489,up,True,7.493124591428374,3.977203343833368,186,126.50537729263306,0.0002336126104827,0.1133911039643694,0.0019870824355925,0.2796671001995521,1,0.6801364421844482,#F0882A,23.78599999999999
EDNRB,0.9679,1,97,99.13,False,True,1.8365465154115608,2.435734561825468e-122,121.613370041415,ns,False,7.872972221653747,6.036425706242188,59,39.1274448633194,2.0229853170414585e-05,0.1055703821463833,0.000363942718459,0.4604130477331889,1,0.663176953792572,#E8524A,48.5555
ELN,0.9798666666666676,1,40,99.65,False,True,2.204676505128907,3.5603805846038677e-106,105.44850357591504,up,True,10.273965464514612,8.069288959385705,56,37.51273339986801,9.89263931137854e-06,0.1090271805157947,0.0002861038007943,0.446800099614872,1,0.6698702573776245,#E8524A,49.09400000000004
EMCN,0.8581666666666666,1,514,95.33,True,False,2.418836617046148,4.748145004177448e-183,182.3234760265429,up,True,7.491494442806796,5.072657825760648,73,50.5853157043457,0.0001622254341582,0.1080261987413171,0.0004326128539635,0.4113854595177864,1,0.6929495334625244,#3A7DBF,43.6175
ENG,0.1583666666666665,0,3829,65.16,False,False,2.855965030100137,0.0,300.0,up,True,11.453942841988187,8.59797781188805,36,22.702815651893616,1.6818453424237773e-05,0.108337407922575,0.0015820992855731,0.3898154398008316,1,0.6306336522102356,#F0882A,12.126499999999993
EPB41L2,0.0566666666666665,0,5120,53.4,False,False,3.507891852670745,0.0,300.0,up,True,9.556330176111878,6.0484383234411325,213,139.34894412755966,0.0024532291947331,0.1196666333345819,0.0255688934766762,0.2830001281214642,1,0.6542203426361084,#F0882A,7.549999999999992
ERG,0.0582333333333332,0,5077,53.8,False,False,3.286231425905836,0.0,300.0,up,True,8.122696920647643,4.836465494741807,141,95.1806309223175,0.0002492881206119,0.1162996260052965,0.0018488203368746,0.3091978029071242,1,0.6750398874282837,#F0882A,7.6204999999999945
ETS1,0.0570999999999999,0,5106,53.53,False,False,4.233811467307082,0.0,300.0,up,True,10.929924426860373,6.69611295955329,170,110.76574897766112,0.0003218667951118,0.1139299710379794,0.0235124460634564,0.3408726392124201,1,0.651563286781311,#F0882A,7.569499999999996
FAM107A,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,49,32.36648494005203,2.3946474476126063e-05,0.1055355270155365,0.0003463898756757,0.4401921563571527,1,0.6605405211448669,#CCCCCC,5.0
FAM13C,0.3840333333333333,0,2561,76.7,False,False,3.6022940636978618,7.88334473557827e-287,286.10328948149424,up,True,5.997338786991861,2.395044723294,137,91.62061655521391,0.0002847444473543,0.115619552233744,0.0015539423853282,0.3053705067467599,1,0.6687635779380798,#F0882A,22.281499999999998
FAM162B,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,45,29.798673450946808,7.362314230103377e-06,0.1006030808043089,0.00027839426418,0.5069892371218216,1,0.6621927618980408,#CCCCCC,5.0
FAT4,0.3696666666666667,0,2637,76.01,False,False,4.584767980892213,0.0,300.0,up,True,7.862039249874054,3.277271268981841,81,52.15552073717117,0.0002145270023963,0.1161868984342003,0.0022917446399714,0.3261024154922041,1,0.6438953280448914,#F0882A,21.635
FBLN5,0.8844333333333331,1,398,96.39,False,True,2.381038578663439,2.1369834899379288e-194,193.6701988331268,up,True,9.568543449130608,7.187504870467169,8,5.040156066417694,0.0,0.097861880419091,8.947949365329957e-05,0.6902566391829865,1,0.63001948595047,#E8524A,44.79949999999999
FEZ1,0.1331666666666666,0,4037,63.26,False,False,2.5866348845087748,1.939405488302559e-261,260.7123313797189,up,True,6.906633732038543,4.319998847529768,124,80.63766777515411,9.523020511569196e-05,0.1125460438033768,0.0016745148615797,0.3255939609161545,1,0.6503037810325623,#F0882A,10.992499999999996
FGD5,0.0497999999999999,0,5304,51.73,False,False,3.248121544020986,0.0,300.0,up,True,8.488719373128086,5.2405978291071005,185,122.37662649154665,0.0008273289910224,0.1170805892468924,0.0148336092815147,0.2440762330517327,1,0.6614952683448792,#F0882A,7.240999999999996
FGF14,0.531466666666667,1,1871,82.98,False,False,5.357575262367838,0.0,300.0,up,True,6.825340592532108,1.4677653301642697,69,45.373878836631775,9.11670564318685e-05,0.1095190230957826,0.0005804341696146,0.4523303150757493,1,0.6575924754142761,#F0882A,28.916000000000015
FHL1,0.9518000000000004,1,151,98.63,False,True,0.7647149239597368,1.7964518980590303e-25,24.745584407007737,ns,False,8.822763089829474,8.058048165869737,124,82.560093998909,0.0002107258272239,0.1124800382648141,0.0026496189952507,0.27564380848936,1,0.6658071875572205,#E8524A,47.83100000000002
FHL5,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,71,48.27347379922867,7.073603261209906e-05,0.1073309716522102,0.0004144654692276,0.4084499345847341,1,0.6799081563949585,#CCCCCC,5.0
FLI1,0.0601666666666665,0,5034,54.19,False,False,2.8992575961782068,0.0,300.0,up,True,8.535948619257677,5.636691023079471,372,253.404271543026,0.0014727236342901,0.1195547395869184,0.0557558089995967,0.3092732061556767,1,0.6811942458152771,#F0882A,7.7074999999999925
FMO2,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,95,62.05962038040161,4.896876240987817e-05,0.1125064311875019,0.0046679382118165,0.3342222061525094,1,0.6532591581344604,#CCCCCC,5.0
