gene_a	gene_b	weight	abs_weight	edge_type
WASH7P	CCNL2	0.792646	0.792646	positive
WASH7P	RHOT2	0.707061	0.707061	positive
WASH7P	HSF4	0.789659	0.789659	positive
WASH7P	GUSBP11	0.760608	0.760608	positive
WASH7P	CDK5RAP3	0.796504	0.796504	positive
WASH7P	GOLGA8A	0.703415	0.703415	positive
WASH7P	MAPK8IP3	0.758616	0.758616	positive
WASH7P	PABPC1L	0.76125	0.76125	positive
WASH7P	PDXDC2P-NPIPB14P	0.73256	0.73256	positive
NLRC5	APOL3	0.715442	0.715442	positive
NLRC5	MAP4K1	0.715525	0.715525	positive
NLRC5	PTPN7	0.721429	0.721429	positive
NLRC5	GBP5	0.732989	0.732989	positive
NLRC5	IL18BP	0.721106	0.721106	positive
NLRC5	IL2RB	0.715039	0.715039	positive
NLRC5	NLRC3	0.728178	0.728178	positive
NLRC5	GBP4	0.709955	0.709955	positive
NLRC5	IRF1	0.717129	0.717129	positive
NLRC5	SAMD9L	0.736604	0.736604	positive
NLRC5	TAP1	0.716763	0.716763	positive
NLRC5	TAP2	0.753045	0.753045	positive
NLRC5	TIGIT	0.74321	0.74321	positive
MMP2	GAS7	0.778757	0.778757	positive
MMP2	DCN	0.767657	0.767657	positive
MMP2	MYLK	0.747228	0.747228	positive
MMP2	AEBP1	0.852846	0.852846	positive
MMP2	ANGPTL2	0.810194	0.810194	positive
MMP2	ANTXR1	0.79187	0.79187	positive
MMP2	BGN	0.817994	0.817994	positive
MMP2	CALD1	0.70567	0.70567	positive
MMP2	COL1A2	0.820528	0.820528	positive
MMP2	COL3A1	0.810139	0.810139	positive
MMP2	COL5A1	0.8311	0.8311	positive
MMP2	COL5A2	0.759271	0.759271	positive
MMP2	ISLR	0.813469	0.813469	positive
MMP2	ITGA11	0.727262	0.727262	positive
MMP2	LUM	0.802123	0.802123	positive
MMP2	ADAMTS2	0.756502	0.756502	positive
MMP2	BNC2	0.805446	0.805446	positive
MMP2	CCDC80	0.811093	0.811093	positive
MMP2	CDH11	0.753135	0.753135	positive
MMP2	COL12A1	0.712061	0.712061	positive
MMP2	COL15A1	0.709837	0.709837	positive
MMP2	COL1A1	0.759045	0.759045	positive
MMP2	COL6A2	0.782857	0.782857	positive
MMP2	COL6A3	0.869512	0.869512	positive
MMP2	COL8A2	0.724173	0.724173	positive
MMP2	CPZ	0.755464	0.755464	positive
MMP2	CTSK	0.727718	0.727718	positive
MMP2	EMILIN1	0.826153	0.826153	positive
MMP2	FAP	0.719011	0.719011	positive
MMP2	FBLN2	0.752792	0.752792	positive
MMP2	FBN1	0.800572	0.800572	positive
MMP2	FSTL1	0.753639	0.753639	positive
